Concurso;Data Sorteio;1º número_Sorteio1;2º número_Sorteio1;3º número_Sorteio1;4º número_Sorteio1;5º número_Sorteio1;6º número_Sorteio1;Arrecadação_Total;Ganhadores_Sena_Sorteio1;Cidade;UF;Rateio_Sena_Sorteio1;Acumulado_Sena_Sorteio1;Valor_Acumulado_Sena_Sorteio1;Ganhadores_Quina_Sorteio1;Rateio_Quina_Sorteio1;Ganhadores_Quadra_Sorteio1;Rateio_Quadra_Sorteio1;Ganhadores_Terno_Sorteio1;Rateio_Terno_Sorteio1;1º número_Sorteio2;2º número_Sorteio2;3º número_Sorteio2;4º número_Sorteio2;5º número_Sorteio2;6º número_Sorteio2;Ganhadores_Sena_Sorteio2;Rateio_Sena_Sorteio2;Ganhadores_Quina_Sorteio2;Rateio_Quina_Sorteio2;Ganhadores_Quadra_Sorteio2;Rateio_Quadra_Sorteio2;Ganhadores_Terno_Sorteio2;Rateio_Terno_Sorteio2;Estimativa_Prêmio;Acumulado Especial de Páscoa
1513;05/07/2016;39;41;37;25;31;5;2.385.15600;0;;;000;SIM;1.303.06202;7;10.33948;757;10926;17536;235;35;44;37;7;8;14;0;000;20;3.25694;1125;7352;20560;201;1.500.00000;3.903.12852
1514;07/07/2016;46;43;34;21;41;11;2.196.31600;0;;;000;SIM;1.503.00032;10;6.664610000000001;742;10265;15567;244;32;49;11;16;42;40;1;73.31071;9;6.664610000000001;752;10128;15273;249;1.800.00000;4.009.76231
1515;09/07/2016;32;26;46;33;17;40;2.089.81400;0;;;000;SIM;1.762.99916;11;5.76495;684;10595;15342;236;50;16;6;7;18;49;0;000;15;3.8048599999999997;941;7701;16884;214;2.000.00000;4.111.22529
1516;12/07/2016;30;24;49;39;1;26;2.476.32400;0;;;000;SIM;2.071.08464;16;4.69642;805;10668;16483;260;19;14;43;18;34;4;0;000;17;3.97815;1153;7448;21192;202;2.300.00000;4.231.45380
1517;14/07/2016;27;16;24;35;50;48;2.235.75400;0;;;000;SIM;2.349.24023;22;3.08376;1093;7093;18907;205;9;11;35;17;30;21;0;000;16;3.81616;1118;6935;18119;213;2.600.00000;4.340.00236
1518;16/07/2016;5;10;25;20;27;24;2.285.06800;0;;;000;SIM;2.557.25793;22;3.15178;1154;6866;20807;190;24;2;33;28;48;29;1;76.27316;20;3.12027;1055;7511;19865;199;2.800.00000;4.450.94515
1519;19/07/2016;3;42;17;33;49;2;2.619.37600;0;;;000;SIM;2.883.14086;17;4.67551;1373;6616;24384;186;28;20;41;14;24;9;0;000;13;5.5027099999999995;957;9492;19283;235;3.200.00000;4.578.11901
1520;21/07/2016;44;2;5;46;9;50;2.483.11000;0;;;000;SIM;3.192.07061;14;5.38205;1091;7893;21727;198;46;30;23;12;4;39;0;000;23;2.94843;1067;8070;21027;204;3.500.00000;4.698.67698
1521;23/07/2016;20;39;42;33;3;19;2.423.27800;1;Curitiba;PR;3.412.67006;NÃO;80.88647;25;2.94133;1145;7339;20695;203;42;2;18;37;49;38;0;000;11;6.01635;1069;7861;19884;211;260.00000;4.816.33004
1522;26/07/2016;38;33;12;25;42;18;1.692.05400;1;NATAL;RN;234.92004;NÃO;000;30;1.71148;1061;5530;16718;175;25;4;1;5;40;23;1;56.47898;8;5.77626;779;7532;14404;203;150.00000;4.898.48131
