Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Time_Coração;Valor_Arrecadado;Ganhadores_7_Números;Cidade;UF;Ganhadores_6_Números;Ganhadores_5_Números;Ganhadores_4_Números;Ganhadores_3_Números;Ganhadores_Time_Coração;Valor_Rateio_7_Números;Valor_Rateio_6_Números;Valor_Rateio_5_Números;Valor_Rateio_4_Números;Valor_Rateio_3_Números;Valor_Time_Coração;Valor_Acumulado;Estimativa_Premio
108;27/03/2010;34;38;26;5;79;78;20;CORINTHIANS/SP;1.329.21200;0;;;2;92;2063;21354;37369;000;50.56942;1.04698;600;200;200;2.020.90351;2.200.00000
109;03/04/2010;12;51;10;68;8;15;66;SANTOS/SP;1.290.78800;0;;;9;185;2976;26302;26055;000;10.994489999999999;50939.0;600;200;200;2.334.42064;2.600.00000
110;10/04/2010;42;41;63;3;14;59;24;UNIÃO SÃO JOÃO/SP;1.457.55000;0;;;4;152;2655;25394;2813;000;31.401770000000003;78701.0;600;200;200;2.501.89676;2.700.00000
111;17/04/2010;2;1;67;69;13;31;8;AMÉRICA/RJ;1.510.98400;0;;;6;184;3455;29829;5896;000;21.10055;65529.0;600;200;200;2.670.70109;2.850.00000
112;24/04/2010;50;70;39;60;5;67;7;RIVER/PI;1.441.58000;0;;;2;129;2196;22236;5127;000;62.49861;92282.0;600;200;200;2.837.36404;3.000.00000
113;30/04/2010;39;17;75;24;4;69;77;UNIÃO S.JOÃO/SP;1.210.44400;0;;;3;128;2536;22743;2765;000;34.34006;76651.0;600;200;200;2.974.72426;3.100.00000
114;08/05/2010;17;68;60;79;44;77;18;PALMEIRAS/SP;1.581.47600;0;;;3;76;2326;25010;28981;000;42.38787;1.1154700000000002;600;200;200;3.346.73953;3.500.00000
115;15/05/2010;35;72;20;55;49;3;54;RIO BRANCO/AC;1.700.00000;0;;;8;162;2951;30895;4044;000;18.22842;85730.0;600;200;200;3.541.17601;3.800.00000
116;22/05/2010;12;62;65;34;4;24;54;XV NOV. PIRACICABA/SP;1.628.06600;0;;;0;160;3078;29185;3989;000;0.0;83011.0;600;200;200;3.866.58224;4.000.00000
117;29/05/2010;51;76;40;79;61;10;33;CRUZEIRO/MG;1.686.36400;0;;;2;119;2571;25512;23485;000;69.54228;1.11312;600;200;200;4.052.02832;4.200.00000
118;05/06/2010;60;30;68;59;66;29;42;INTERNACIONAL/RS;1.730.09000;0;;;0;86;2471;24942;27644;000;0.0;1.1002100000000001;600;200;200;4.383.19159;4.500.00000
119;12/06/2010;72;11;56;44;19;28;41;SÃO PAULO/SP;2.016.22000;0;;;4;208;4260;37632;38559;000;39.349759999999996;72069.0;600;200;200;4.834.28961;5.000.00000
120;19/06/2010;14;1;73;44;7;46;51;BRASILIENSE/DF;1.898.36800;0;;;5;174;3429;33104;6507;000;32.485040000000005;88902.0;600;200;200;5.050.85653;5.200.00000
121;26/06/2010;67;31;47;8;35;43;76;MARÍLIA/SP;1.988.38000;0;;;4;172;3557;32280;7976;000;42.67205;94511.0;600;200;200;5.278.44075;5.500.00000
122;03/07/2010;64;67;52;70;48;49;69;RIVER/PI;1.922.45400;0;;;1;178;2921;28571;8010;000;166.66458;89173.0;600;200;200;5.500.66018;5.700.00000
123;10/07/2010;54;60;3;17;61;37;56;BRAGANTINO/SP;1.994.84400;0;;;2;165;3352;34385;6467;000;85.66029;98886.0;600;200;200;5.729.08761;6.000.00000
124;17/07/2010;46;16;43;70;1;71;20;BARUERI/SP;2.167.49000;0;;;4;180;3431;34033;7307;000;46.92342;99308.0;600;200;200;6.265.60993;6.500.00000
125;21/07/2010;25;72;5;19;41;56;69;BARUERI/SP;867.50800;0;;;4;112;1915;16733;2803;000;11.9029;60729.0;600;200;500;6.384.63887;6.500.00000
126;24/07/2010;37;17;64;23;72;30;16;CORITIBA/PR;1.859.36800;0;;;5;134;2928;29886;10822;000;20.268060000000002;1.08038;600;200;500;6.637.98961;6.800.00000
127;28/07/2010;48;79;1;78;19;9;35;INTERNACIONAL/RS;1.077.63600;0;;;0;122;2069;20197;18621;000;0.0;57344.0;600;200;500;6.809.39140;7.000.00000
128;31/07/2010;70;27;20;78;38;8;16;INTER LIMEIRA/SP;2.039.09200;0;;;2;195;3528;34390;8014;000;56.55751;82868.0;600;200;500;7.092.17891;7.300.00000
129;04/08/2010;10;69;8;22;28;55;70;FORTALEZA/CE;1.367.00800;0;;;4;136;2784;26253;12587;000;17.383760000000002;73040.0;600;200;500;7.456.30340;7.600.00000
130;07/08/2010;45;76;30;68;12;51;57;ATLÉTICO/GO;2.180.78400;0;;;7;180;3582;34888;9528;000;17.28506;96028.0;600;200;500;7.758.79182;7.800.00000
131;11/08/2010;41;11;4;42;40;39;24;UNIÃO BARBARENSE/SP;1.479.62600;0;;;3;181;3206;26792;3364;000;27.57944;65302.0;600;200;500;7.965.63761;8.200.00000
132;14/08/2010;26;66;36;19;71;39;78;INTERNACIONAL/RS;2.136.87400;0;;;3;157;3130;33319;35665;000;33.563559999999995;91620.0;600;200;500;8.217.36427;8.400.00000
133;18/08/2010;62;14;26;4;20;52;66;FLUMINENSE/RJ;1.530.61000;0;;;2;109;2484;25897;21103;000;37.230740000000004;97590.0;600;200;500;8.403.51793;8.600.00000
134;21/08/2010;49;2;4;78;51;60;75;NACIONAL/AM;2.153.86600;0;;;2;197;3559;35396;6117;000;60.76331999999999;88126.0;600;200;500;8.957.54076;9.100.00000
